dim,group,estimand,model,estimate,se,ci_lo,ci_hi,lo,hi,violates,excess
age,50-59,turnout,M1_lpm,0.8027979681042883,0.0059848219724235,0.7905182776462173,0.8135051074060194,0.5545160185966773,0.9624041876497784,False,0.0
age,50-59,turnout,M2_logit,0.8025989256849265,0.005882145877457498,0.7909201423388826,0.8130841494459361,0.5545160185966773,0.9624041876497784,False,0.0
age,50-59,turnout,M3_probit,0.8025992996632302,,,,0.5545160185966773,0.9624041876497784,False,0.0
age,50-59,turnout,M2ml_logit_noprior,0.8025995040430126,,,,0.5545160185966773,0.9624041876497784,False,0.0
age,50-59,turnout,M4_context,0.796670564455902,,,,0.5545160185966773,0.9624041876497784,False,0.0
age,50-59,turnout,M5_within_seat,0.8021430902462898,0.005918992676260414,0.7903790664800302,0.8134292182420847,0.5545160185966773,0.9624041876497784,False,0.0
age,60-69,turnout,M1_lpm,0.8073066317659642,0.005713156000129889,0.7974049248720918,0.8180507063507606,0.4844788222466097,0.9621753997184064,False,0.0
age,60-69,turnout,M2_logit,0.8048762966970316,0.006013261567977585,0.7944809188642854,0.8159373192970969,0.4844788222466097,0.9621753997184064,False,0.0
age,60-69,turnout,M3_probit,0.8048772575814198,,,,0.4844788222466097,0.9621753997184064,False,0.0
age,60-69,turnout,M2ml_logit_noprior,0.8048777603123975,,,,0.4844788222466097,0.9621753997184064,False,0.0
age,60-69,turnout,M4_context,0.8077688069846621,,,,0.4844788222466097,0.9621753997184064,False,0.0
age,60-69,turnout,M5_within_seat,0.8072270641745637,0.00718258093244836,0.794240304632619,0.8226590702605497,0.4844788222466097,0.9621753997184064,False,0.0
age,70+,turnout,M1_lpm,0.5758364394604051,0.013398234098281593,0.5513508776705504,0.6028448644798472,0.3692222696567138,0.8925391125285653,False,0.0
age,70+,turnout,M2_logit,0.5787871277161932,0.01273490515950922,0.555131163880705,0.6042493147368997,0.3692222696567138,0.8925391125285653,False,0.0
age,70+,turnout,M3_probit,0.5787867229538468,,,,0.3692222696567138,0.8925391125285653,False,0.0
