cluster,dim,group,estimand,registered,lo,hi
P.143 Pagoh,age,70+,BN,6116,0.003760627861347286,0.6863963374754741
P.143 Pagoh,age,18-29,PH,18087,0.08873776745728977,0.33095593520207883
P.143 Pagoh,age,30-39,PH,15488,0.028667355371900828,0.44821797520661155
P.143 Pagoh,age,40-49,PH,11668,0.03273911552965375,0.48225917038052796
P.143 Pagoh,age,50-59,PH,10174,0.01936308236681738,0.5355808924710045
P.143 Pagoh,age,60-69,PH,8302,0.00469766321368345,0.4933750903396772
P.143 Pagoh,age,70+,PH,6116,0.006213211249182472,0.5619686069326357
P.143 Pagoh,age,18-29,PN,18087,0.2326532868911373,0.5888759882788743
P.143 Pagoh,age,30-39,PN,15488,0.09536415289256199,0.7519369834710744
P.143 Pagoh,age,40-49,PN,11668,0.053308193349331505,0.7409153239629757
P.143 Pagoh,age,50-59,PN,10174,0.03735010811873403,0.715451149990171
P.143 Pagoh,age,60-69,PN,8302,0.02914960250542038,0.6165984100216815
P.143 Pagoh,age,70+,PN,6116,0.0,0.6242642249836494
P.144 Ledang,ethnicity,Malay,turnout,57598,0.6151602486197437,0.946873155317893
P.144 Ledang,ethnicity,Chinese,turnout,40244,0.47224430971076437,0.9615097902792963
P.144 Ledang,ethnicity,Indian,turnout,5077,0.028166239905455977,1.0
P.144 Ledang,ethnicity,Other,turnout,1290,0.027131782945736434,1.0
P.144 Ledang,ethnicity,Malay,BN,57598,0.12717455467203723,0.39701031285808536
P.144 Ledang,ethnicity,Chinese,BN,40244,0.0006957558890766326,0.35172945035284764
P.144 Ledang,ethnicity,Indian,BN,5077,0.0,0.83651762852078
P.144 Ledang,ethnicity,Other,BN,1290,0.0,1.0
P.144 Ledang,ethnicity,Malay,PH,57598,0.014583839716656829,0.3983124414042154
P.144 Ledang,ethnicity,Chinese,PH,40244,0.19180498956366165,0.7747490309114402
P.144 Ledang,ethnicity,Indian,PH,5077,0.0,0.9637581248768958
P.144 Ledang,ethnicity,Other,PH,1290,0.0,0.9596899224806201
P.144 Ledang,ethnicity,Malay,PN,57598,0.1264974478280496,0.37405812701829927
P.144 Ledang,ethnicity,Chinese,PN,40244,0.0,0.3283470827949508
P.144 Ledang,ethnicity,Indian,PN,5077,0.0,0.6962773291313767
P.144 Ledang,ethnicity,Other,PN,1290,0.0,0.8868217054263566
P.144 Ledang,age,18-29,turnout,27825,0.6328840970350404,0.8653009883198562
P.144 Ledang,age,30-39,turnout,22117,0.4626757697698603,0.9381019125559524
P.144 Ledang,age,40-49,turnout,17492,0.48513606219986277,0.9835353304367711
P.144 Ledang,age,50-59,turnout,15488,0.5255681818181818,0.9919938016528925
P.144 Ledang,age,60-69,turnout,11917,0.4357640345724595,0.9966434505328522
P.144 Ledang,age,70+,turnout,9370,0.3861259338313767,0.9414087513340448
P.144 Ledang,age,18-29,BN,27825,0.0893800539083558,0.30084456424079065
P.144 Ledang,age,30-39,BN,22117,0.016638784645295474,0.4114934213500927
P.144 Ledang,age,40-49,BN,17492,0.007088954950834668,0.48004802195289276
P.144 Ledang,age,50-59,BN,15488,0.028409090909090908,0.5606275826446281
P.144 Ledang,age,60-69,BN,11917,0.001090878576823026,0.6012419233028446
P.144 Ledang,age,70+,BN,9370,0.010672358591248666,0.5895410885805763
P.144 Ledang,age,18-29,PH,27825,0.1837915543575921,0.4019407008086253
P.144 Ledang,age,30-39,PH,22117,0.08464077406519871,0.5489894651173306
P.144 Ledang,age,40-49,PH,17492,0.08392407957923623,0.6644751886576721
P.144 Ledang,age,50-59,PH,15488,0.08471074380165289,0.6581224173553719
P.144 Ledang,age,60-69,PH,11917,0.08659897625241252,0.6787782159939582
P.144 Ledang,age,70+,PH,9370,0.10256136606189968,0.6187833511205977
P.144 Ledang,age,18-29,PN,27825,0.152848158131177,0.3893261455525606
P.144 Ledang,age,30-39,PN,22117,0.04562101550843243,0.4998869647782249
P.144 Ledang,age,40-49,PN,17492,0.005659730162359936,0.48702263892064945
P.144 Ledang,age,50-59,PN,15488,0.0015495867768595042,0.4372417355371901
P.144 Ledang,age,60-69,PN,11917,0.0,0.32709574557355037
P.144 Ledang,age,70+,PN,9370,0.0,0.27662753468516543
P.145 Bakri,ethnicity,Malay,turnout,43398,0.513756394303885,0.9506428867689756
