election,group,estimand,miss,n_pure,thr
jhr_se16,60-69,PN,0.005742726220314291,102,0.9
jhr_se16,60-69,BN_v,0.0,102,0.9
jhr_se16,60-69,PH_v,0.0,102,0.9
jhr_se16,60-69,PN_v,0.006622855974189799,102,0.9
jhr_se16,70+,turnout,0.0,81,0.9
jhr_se16,70+,BN,0.01751291838334204,81,0.9
jhr_se16,70+,PH,0.0,81,0.9
jhr_se16,70+,PN,0.0008399344743377614,81,0.9
jhr_se16,70+,BN_v,0.008352189202907423,81,0.9
jhr_se16,70+,PH_v,0.0,81,0.9
jhr_se16,70+,PN_v,0.0006040534407763202,81,0.9
jhr_se15,Malay,turnout,0.03630601654600629,656,0.95
jhr_se15,Malay,BN,0.05392598577393565,656,0.95
jhr_se15,Malay,PH,0.007236771008556429,656,0.95
jhr_se15,Malay,PN,0.008178415069852396,656,0.95
jhr_se15,Malay,BN_v,0.034935712818712994,656,0.95
jhr_se15,Malay,PH_v,0.013946310042405659,656,0.95
jhr_se15,Malay,PN_v,0.03275781181990389,656,0.95
jhr_se15,Chinese,turnout,0.03298505819888636,76,0.95
jhr_se15,Chinese,BN,0.0,76,0.95
jhr_se15,Chinese,PH,0.0,76,0.95
jhr_se15,Chinese,PN,0.0,76,0.95
jhr_se15,Chinese,BN_v,0.0,76,0.95
jhr_se15,Chinese,PH_v,0.0,76,0.95
jhr_se15,Chinese,PN_v,0.0,76,0.95
jhr_se15,18-29,turnout,0.0,562,0.95
jhr_se15,18-29,BN,0.016912200263004468,562,0.95
jhr_se15,18-29,PH,0.004027825451336467,562,0.95
jhr_se15,18-29,PN,0.001627295309400839,562,0.95
jhr_se15,18-29,BN_v,0.03313466204099602,562,0.95
jhr_se15,18-29,PH_v,0.007512676910188781,562,0.95
jhr_se15,18-29,PN_v,0.002944110291454194,562,0.95
jhr_se15,30-39,turnout,0.0024147135119504393,198,0.95
jhr_se15,30-39,BN,0.0,198,0.95
jhr_se15,30-39,PH,0.0011782148997213082,198,0.95
jhr_se15,30-39,PN,0.0,198,0.95
jhr_se15,30-39,BN_v,0.0,198,0.95
jhr_se15,30-39,PH_v,0.0,198,0.95
jhr_se15,30-39,PN_v,0.0,198,0.95
jhr_se15,40-49,turnout,0.011409187833415935,134,0.95
jhr_se15,40-49,BN,0.010625501426483663,134,0.95
jhr_se15,40-49,PH,0.01015793022929462,134,0.95
jhr_se15,40-49,PN,0.0022912169636208485,134,0.95
jhr_se15,40-49,BN_v,0.009197392639721413,134,0.95
jhr_se15,40-49,PH_v,0.009269195269516695,134,0.95
jhr_se15,40-49,PN_v,0.0,134,0.95
jhr_se15,50-59,turnout,0.014763456169871847,78,0.95
jhr_se15,50-59,BN,0.011178658627242155,78,0.95
jhr_se15,50-59,PH,0.017203755018447064,78,0.95
jhr_se15,50-59,PN,0.0015917897378598667,78,0.95
jhr_se15,50-59,BN_v,0.006615977970879927,78,0.95
jhr_se15,50-59,PH_v,0.01404130133144632,78,0.95
jhr_se15,50-59,PN_v,0.0,78,0.95
jhr_se15,60-69,turnout,0.021320229711537464,71,0.95
jhr_se15,60-69,BN,0.02087950084457396,71,0.95
jhr_se15,60-69,PH,0.013604192791405179,71,0.95
jhr_se15,60-69,PN,0.006750718153470878,71,0.95
jhr_se15,60-69,BN_v,0.018078910525531955,71,0.95
jhr_se15,60-69,PH_v,0.03638051034481421,71,0.95
jhr_se15,60-69,PN_v,0.005680564847328914,71,0.95
