election,eth,age,estimand,registered,rate,share_of_electorate
jhr_se16,Other,40-49,PN,14333,0.00044659226713346107,0.005302283425971312
jhr_se16,Other,50-59,turnout,7890,0.8476552287509941,0.00291878994145773
jhr_se16,Other,50-59,BN,7890,0.450464499101682,0.00291878994145773
jhr_se16,Other,50-59,PH,7890,0.22572840115193485,0.00291878994145773
jhr_se16,Other,50-59,PN,7890,0.0012273671686595827,0.00291878994145773
jhr_se16,Other,60-69,turnout,4332,0.3378580153093728,0.0016025599526482746
jhr_se16,Other,60-69,BN,4332,0.175147009173018,0.0016025599526482746
jhr_se16,Other,60-69,PH,4332,0.02758178252876662,0.0016025599526482746
jhr_se16,Other,60-69,PN,4332,0.0009925030571413683,0.0016025599526482746
jhr_se16,Other,70+,turnout,1842,0.4981231937949473,0.000681420921693934
jhr_se16,Other,70+,BN,1842,0.006887529950029092,0.000681420921693934
jhr_se16,Other,70+,PH,1842,0.2639894436283825,0.000681420921693934
jhr_se16,Other,70+,PN,1842,0.0015210121155139107,0.000681420921693934
