election,dim,design,thr,group,estimand,model,pred,truth_lo,truth_hi,truth_mid,truth_width,miss,inside,signed,se,n_pure,n_mixed,coverage
ge15,age,A,0.95,70+,PN,M2_logit,0.040291773293695,0.006997712286367918,0.016148566814695196,0.011573139550531557,0.009150854528327278,0.024143206478999805,False,0.028718633743163444,,19,3573,0.037322016021697095
ge15,age,A,0.95,70+,PN,M3_probit,0.04028298180540698,0.006997712286367918,0.016148566814695196,0.011573139550531557,0.009150854528327278,0.024134414990711783,False,0.028709842254875422,,19,3573,0.037322016021697095
ge15,age,A,0.95,70+,PN,M1_lpm,0.05013629472321469,0.006997712286367918,0.016148566814695196,0.011573139550531557,0.009150854528327278,0.03398772790851949,False,0.03856315517268313,,19,3573,0.037322016021697095
ge15,age,A,0.95,70+,PN,bivariate,-0.0010773537834615765,0.006997712286367918,0.016148566814695196,0.011573139550531557,0.009150854528327278,0.008075066069829495,False,-0.012650493333993134,,19,3573,0.037322016021697095
ge15,age,B,0.95,18-29,turnout,reconciled,0.7118069202629873,0.7394292487322746,0.7411330908604283,0.7402811697963514,0.0017038421281537763,0.02762232846928725,False,-0.028474249533364082,0.005652033802705971,604,2099,0.5871509430255955
ge15,age,B,0.95,18-29,turnout,M2_logit,0.7117346122986644,0.7394292487322746,0.7411330908604283,0.7402811697963514,0.0017038421281537763,0.027694636433610142,False,-0.028546557497686975,,604,2099,0.5871509430255955
ge15,age,B,0.95,18-29,turnout,M3_probit,0.7117356950015788,0.7394292487322746,0.7411330908604283,0.7402811697963514,0.0017038421281537763,0.027693553730695708,False,-0.02854547479477254,,604,2099,0.5871509430255955
ge15,age,B,0.95,18-29,turnout,M1_lpm,0.7115889547673343,0.7394292487322746,0.7411330908604283,0.7402811697963514,0.0017038421281537763,0.027840293964940255,False,-0.028692215029017087,,604,2099,0.5871509430255955
ge15,age,B,0.95,18-29,turnout,bivariate,0.6799207218224018,0.7394292487322746,0.7411330908604283,0.7402811697963514,0.0017038421281537763,0.05950852690987274,False,-0.06036044797394957,,604,2099,0.5871509430255955
ge15,age,B,0.95,18-29,BN,reconciled,0.18089877805941237,0.15718839762370182,0.1588922397518556,0.1580403186877787,0.0017038421281537763,0.022006538307556778,False,0.022858459371633666,0.01884591018976712,604,2099,0.5871509430255955
ge15,age,B,0.95,18-29,BN,M2_logit,0.18086625075890775,0.15718839762370182,0.1588922397518556,0.1580403186877787,0.0017038421281537763,0.021974011007052152,False,0.02282593207112904,,604,2099,0.5871509430255955
ge15,age,B,0.95,18-29,BN,M3_probit,0.18086453998320795,0.15718839762370182,0.1588922397518556,0.1580403186877787,0.0017038421281537763,0.021972300231352354,False,0.022824221295429242,,604,2099,0.5871509430255955
ge15,age,B,0.95,18-29,BN,M1_lpm,0.18162804456653767,0.15718839762370182,0.1588922397518556,0.1580403186877787,0.0017038421281537763,0.02273580481468207,False,0.02358772587875896,,604,2099,0.5871509430255955
ge15,age,B,0.95,18-29,BN,bivariate,0.14860843411315727,0.15718839762370182,0.1588922397518556,0.1580403186877787,0.0017038421281537763,0.008579963510544547,False,-0.009431884574621435,,604,2099,0.5871509430255955
ge15,age,B,0.95,18-29,PH,reconciled,0.3080671643558177,0.3295966697413888,0.33130051186954257,0.3304485908054657,0.0017038421281537763,0.02152950538557108,False,-0.022381426449647968,0.025722950332216794,604,2099,0.5871509430255955
ge15,age,B,0.95,18-29,PH,M2_logit,0.3082939819895641,0.3295966697413888,0.33130051186954257,0.3304485908054657,0.0017038421281537763,0.0213026877518247,False,-0.02215460881590159,,604,2099,0.5871509430255955
ge15,age,B,0.95,18-29,PH,M3_probit,0.3082931573463442,0.3295966697413888,0.33130051186954257,0.3304485908054657,0.0017038421281537763,0.021303512395044577,False,-0.022155433459121465,,604,2099,0.5871509430255955
ge15,age,B,0.95,18-29,PH,M1_lpm,0.3083757121405991,0.3295966697413888,0.33130051186954257,0.3304485908054657,0.0017038421281537763,0.02122095760078968,False,-0.02207287866486657,,604,2099,0.5871509430255955
ge15,age,B,0.95,18-29,PH,bivariate,0.28113729699115775,0.3295966697413888,0.33130051186954257,0.3304485908054657,0.0017038421281537763,0.048459372750231045,False,-0.04931129381430793,,604,2099,0.5871509430255955
ge15,age,B,0.95,18-29,PN,reconciled,0.21893350334308073,0.2440723977575239,0.24577623988567768,0.2449243188216008,0.0017038421281537763,0.02513889441444317,False,-0.025990815478520057,0.018855228524950907,604,2099,0.5871509430255955
ge15,age,B,0.95,18-29,PN,M2_logit,0.21904732550677097,0.2440723977575239,0.24577623988567768,0.2449243188216008,0.0017038421281537763,0.025025072250752928,False,-0.025876993314829816,,604,2099,0.5871509430255955
ge15,age,B,0.95,18-29,PN,M3_probit,0.21904693339746356,0.2440723977575239,0.24577623988567768,0.2449243188216008,0.0017038421281537763,0.02502546436006034,False,-0.025877385424137228,,604,2099,0.5871509430255955
ge15,age,B,0.95,18-29,PN,M1_lpm,0.21786437716724563,0.2440723977575239,0.24577623988567768,0.2449243188216008,0.0017038421281537763,0.02620802059027827,False,-0.027059941654355157,,604,2099,0.5871509430255955
ge15,age,B,0.95,18-29,PN,bivariate,0.2490992787762944,0.2440723977575239,0.24577623988567768,0.2449243188216008,0.0017038421281537763,0.0033230388906167196,False,0.004174959954693608,,604,2099,0.5871509430255955
ge15,age,B,0.95,30-39,turnout,reconciled,0.6983491373235327,0.6977709309271544,0.7025104536737197,0.700140692300437,0.004739522746565306,0.0,True,-0.0017915549769043082,0.005522512516460189,192,2099,0.22871462624533953
ge15,age,B,0.95,30-39,turnout,M2_logit,0.6984820687863014,0.6977709309271544,0.7025104536737197,0.700140692300437,0.004739522746565306,0.0,True,-0.0016586235141355932,,192,2099,0.22871462624533953
ge15,age,B,0.95,30-39,turnout,M3_probit,0.6984820446015592,0.6977709309271544,0.7025104536737197,0.700140692300437,0.004739522746565306,0.0,True,-0.001658647698877802,,192,2099,0.22871462624533953
ge15,age,B,0.95,30-39,turnout,M1_lpm,0.6987822188320885,0.6977709309271544,0.7025104536737197,0.700140692300437,0.004739522746565306,0.0,True,-0.0013584734683484978,,192,2099,0.22871462624533953
ge15,age,B,0.95,30-39,turnout,bivariate,0.6836207328272225,0.6977709309271544,0.7025104536737197,0.700140692300437,0.004739522746565306,0.014150198099931899,False,-0.016519959473214496,,192,2099,0.22871462624533953
ge15,age,B,0.95,30-39,BN,reconciled,0.17470650348616668,0.18360738202282517,0.18832332505423335,0.18596535353852928,0.004715943031408182,0.008900878536658496,False,-0.011258850052362601,0.010733026238997558,192,2099,0.22871462624533953
ge15,age,B,0.95,30-39,BN,M2_logit,0.17486030211424697,0.18360738202282517,0.18832332505423335,0.18596535353852928,0.004715943031408182,0.008747079908578204,False,-0.011105051424282308,,192,2099,0.22871462624533953
ge15,age,B,0.95,30-39,BN,M3_probit,0.17486010482333186,0.18360738202282517,0.18832332505423335,0.18596535353852928,0.004715943031408182,0.008747277199493309,False,-0.011105248715197413,,192,2099,0.22871462624533953
ge15,age,B,0.95,30-39,BN,M1_lpm,0.1748163494072955,0.18360738202282517,0.18832332505423335,0.18596535353852928,0.004715943031408182,0.00879103261552966,False,-0.011149004131233764,,192,2099,0.22871462624533953
ge15,age,B,0.95,30-39,BN,bivariate,0.14355412559839395,0.18360738202282517,0.18832332505423335,0.18596535353852928,0.004715943031408182,0.04005325642443122,False,-0.042411227940135326,,192,2099,0.22871462624533953
ge15,age,B,0.95,30-39,PH,reconciled,0.2977581629103367,0.2891344672556356,0.2938582701920961,0.29149636872386586,0.004723802936460519,0.003899892718240594,False,0.006261794186470826,0.01987023017042859,192,2099,0.22871462624533953
ge15,age,B,0.95,30-39,PH,M2_logit,0.29684998535331864,0.2891344672556356,0.2938582701920961,0.29149636872386586,0.004723802936460519,0.0029917151612225412,False,0.005353616629452773,,192,2099,0.22871462624533953
ge15,age,B,0.95,30-39,PH,M3_probit,0.29684985428769706,0.2891344672556356,0.2938582701920961,0.29149636872386586,0.004723802936460519,0.002991584095600963,False,0.005353485563831195,,192,2099,0.22871462624533953
ge15,age,B,0.95,30-39,PH,M1_lpm,0.29693854383753265,0.2891344672556356,0.2938582701920961,0.29149636872386586,0.004723802936460519,0.00308027364543656,False,0.005442175113666792,,192,2099,0.22871462624533953
ge15,age,B,0.95,30-39,PH,bivariate,0.2848647820432626,0.2891344672556356,0.2938582701920961,0.29149636872386586,0.004723802936460519,0.004269685212372976,False,-0.006631586680603263,,192,2099,0.22871462624533953
ge15,age,B,0.95,30-39,PN,reconciled,0.21997276775878064,0.210221020530072,0.21496054327663722,0.21259078190335462,0.004739522746565222,0.005012224482143418,False,0.007381985855426015,0.013162981968781871,192,2099,0.22871462624533953
ge15,age,B,0.95,30-39,PN,M2_logit,0.2206083315361477,0.210221020530072,0.21496054327663722,0.21259078190335462,0.004739522746565222,0.005647788259510483,False,0.00801754963279308,,192,2099,0.22871462624533953
ge15,age,B,0.95,30-39,PN,M3_probit,0.220607935800396,0.210221020530072,0.21496054327663722,0.21259078190335462,0.004739522746565222,0.005647392523758787,False,0.008017153897041385,,192,2099,0.22871462624533953
ge15,age,B,0.95,30-39,PN,M1_lpm,0.22089898195028962,0.210221020530072,0.21496054327663722,0.21259078190335462,0.004739522746565222,0.005938438673652402,False,0.008308200046935,,192,2099,0.22871462624533953
ge15,age,B,0.95,30-39,PN,bivariate,0.2523616724066131,0.210221020530072,0.21496054327663722,0.21259078190335462,0.004739522746565222,0.037401129129975896,False,0.039770890503258494,,192,2099,0.22871462624533953
ge15,age,B,0.95,40-49,turnout,reconciled,0.7445989762400536,0.7522119723370916,0.7567478410443101,0.7544799066907009,0.00453586870721856,0.007612996097038027,False,-0.009880930450647307,0.006638004364862521,135,2099,0.18474406942349508
ge15,age,B,0.95,40-49,turnout,M2_logit,0.7443826899912699,0.7522119723370916,0.7567478410443101,0.7544799066907009,0.00453586870721856,0.007829282345821698,False,-0.010097216699430978,,135,2099,0.18474406942349508
ge15,age,B,0.95,40-49,turnout,M3_probit,0.7443832190722764,0.7522119723370916,0.7567478410443101,0.7544799066907009,0.00453586870721856,0.007828753264815136,False,-0.010096687618424416,,135,2099,0.18474406942349508
ge15,age,B,0.95,40-49,turnout,M1_lpm,0.7438630159222434,0.7522119723370916,0.7567478410443101,0.7544799066907009,0.00453586870721856,0.00834895641484823,False,-0.01061689076845751,,135,2099,0.18474406942349508
ge15,age,B,0.95,40-49,turnout,bivariate,0.7579666457107991,0.7522119723370916,0.7567478410443101,0.7544799066907009,0.00453586870721856,0.0012188046664889374,False,0.0034867390200982173,,135,2099,0.18474406942349508
ge15,age,B,0.95,40-49,BN,reconciled,0.20503609020636518,0.17136158531556686,0.17589745402278537,0.1736295196691761,0.0045358687072185044,0.029138636183579814,False,0.031406570537189066,0.014874157138816804,135,2099,0.18474406942349508
ge15,age,B,0.95,40-49,BN,M2_logit,0.20499589594435025,0.17136158531556686,0.17589745402278537,0.1736295196691761,0.0045358687072185044,0.029098441921564883,False,0.031366376275174135,,135,2099,0.18474406942349508
ge15,age,B,0.95,40-49,BN,M3_probit,0.20499528740933942,0.17136158531556686,0.17589745402278537,0.1736295196691761,0.0045358687072185044,0.029097833386554056,False,0.03136576774016331,,135,2099,0.18474406942349508
ge15,age,B,0.95,40-49,BN,M1_lpm,0.20548522028087562,0.17136158531556686,0.17589745402278537,0.1736295196691761,0.0045358687072185044,0.02958776625809026,False,0.03185570061169951,,135,2099,0.18474406942349508
ge15,age,B,0.95,40-49,BN,bivariate,0.19143413727896497,0.17136158531556686,0.17589745402278537,0.1736295196691761,0.0045358687072185044,0.015536683256179601,False,0.017804617609788853,,135,2099,0.18474406942349508
ge15,age,B,0.95,40-49,PH,reconciled,0.34015530661149634,0.4090293240966552,0.41356519280387377,0.4112972584502645,0.00453586870721856,0.06887401748515887,False,-0.07114195183876815,0.02464066464300904,135,2099,0.18474406942349508
ge15,age,B,0.95,40-49,PH,M2_logit,0.34042467605516097,0.4090293240966552,0.41356519280387377,0.4112972584502645,0.00453586870721856,0.06860464804149424,False,-0.07087258239510352,,135,2099,0.18474406942349508
ge15,age,B,0.95,40-49,PH,M3_probit,0.34042438658657526,0.4090293240966552,0.41356519280387377,0.4112972584502645,0.00453586870721856,0.06860493751007996,False,-0.07087287186368924,,135,2099,0.18474406942349508
ge15,age,B,0.95,40-49,PH,M1_lpm,0.34023135183304976,0.4090293240966552,0.41356519280387377,0.4112972584502645,0.00453586870721856,0.06879797226360546,False,-0.07106590661721474,,135,2099,0.18474406942349508
ge15,age,B,0.95,40-49,PH,bivariate,0.3532472898455956,0.4090293240966552,0.41356519280387377,0.4112972584502645,0.00453586870721856,0.0557820342510596,False,-0.05804996860466888,,135,2099,0.18474406942349508
ge15,age,B,0.95,40-49,PN,reconciled,0.19053046551906294,0.15687036840679083,0.1612766408652317,0.15907350463601128,0.0044062724584408575,0.02925382465383125,False,0.031456960883051666,0.014965720064439495,135,2099,0.18474406942349508
ge15,age,B,0.95,40-49,PN,M2_logit,0.19038466711560006,0.15687036840679083,0.1612766408652317,0.15907350463601128,0.0044062724584408575,0.029108026250368374,False,0.03131116247958879,,135,2099,0.18474406942349508
ge15,age,B,0.95,40-49,PN,M3_probit,0.19038457029502398,0.15687036840679083,0.1612766408652317,0.15907350463601128,0.0044062724584408575,0.02910792942979229,False,0.031311065659012705,,135,2099,0.18474406942349508
ge15,age,B,0.95,40-49,PN,M1_lpm,0.18941241311482052,0.15687036840679083,0.1612766408652317,0.15907350463601128,0.0044062724584408575,0.028135772249588825,False,0.03033890847880924,,135,2099,0.18474406942349508
ge15,age,B,0.95,40-49,PN,bivariate,0.20549807692072153,0.15687036840679083,0.1612766408652317,0.15907350463601128,0.0044062724584408575,0.04422143605548984,False,0.04642457228471025,,135,2099,0.18474406942349508
