target,kappa,kappa_used,lo,hi,width
SE-16 Chinese PH,0.0,0.9551436781877617,21.2497708419494,58.19712549846838,36.94735465651898
SE-16 Chinese PH,0.1,0.9551436781877617,21.2497708419494,58.19712549846838,36.94735465651898
SE-16 Chinese PH,0.2,0.9551436781877617,21.2497708419494,58.19712549846838,36.94735465651898
SE-16 Chinese PH,0.3,0.9551436781877617,21.2497708419494,58.19712549846838,36.94735465651898
SE-16 Chinese PH,0.5,0.9551436781877617,21.2497708419494,58.19712549846838,36.94735465651898
SE-16 Chinese PH,0.75,0.9551436781877617,21.2497708419494,58.19712549846838,36.94735465651898
SE-16 Chinese PH,1.0,1.0,20.293784552386775,58.45278438667133,38.15899983428456
SE-16 Chinese PH,1.5,1.5,13.691266579706586,59.33891063648796,45.64764405678138
SE-16 Chinese PH,2.0,2.0,12.639252172654864,59.39282843031863,46.753576257663774
SE-16 Chinese PH,3.0,3.0,12.639252172654864,59.39282843031863,46.753576257663774
SE-16 Chinese PH,inf,inf,12.639252172654864,59.39282843031863,46.753576257663774
SE-16 Chinese BN,0.0,0.6593472063959191,3.3619980690699958,27.657546799179205,24.29554873010921
SE-16 Chinese BN,0.1,0.6593472063959191,3.3619980690699958,27.657546799179205,24.29554873010921
SE-16 Chinese BN,0.2,0.6593472063959191,3.3619980690699958,27.657546799179205,24.29554873010921
SE-16 Chinese BN,0.3,0.6593472063959191,3.3619980690699958,27.657546799179205,24.29554873010921
SE-16 Chinese BN,0.5,0.6593472063959191,3.3619980690699958,27.657546799179205,24.29554873010921
SE-16 Chinese BN,0.75,0.75,2.3362573113673633,29.85464947121664,27.518392159849274
SE-16 Chinese BN,1.0,1.0,1.0466347545670616,35.575482266189006,34.52884751162195
SE-16 Chinese BN,1.5,1.5,1.026999102305577,44.07586090293305,43.04886180062748
SE-16 Chinese BN,2.0,2.0,1.026999102305577,48.37931552073765,47.352316418432075
SE-16 Chinese BN,3.0,3.0,1.026999102305577,49.804005082519616,48.77700598021404
SE-16 Chinese BN,inf,inf,1.026999102305577,49.804005082519616,48.77700598021404
SE-16 Chinese turnout,0.0,1.0198661215252751,42.300496385458445,82.40535705687587,40.10486067141743
SE-16 Chinese turnout,0.1,1.0198661215252751,42.300496385458445,82.40535705687587,40.10486067141743
SE-16 Chinese turnout,0.2,1.0198661215252751,42.300496385458445,82.40535705687587,40.10486067141743
SE-16 Chinese turnout,0.3,1.0198661215252751,42.300496385458445,82.40535705687587,40.10486067141743
SE-16 Chinese turnout,0.5,1.0198661215252751,42.300496385458445,82.40535705687587,40.10486067141743
SE-16 Chinese turnout,0.75,1.0198661215252751,42.300496385458445,82.40535705687587,40.10486067141743
SE-16 Chinese turnout,1.0,1.0198661215252751,42.300496385458445,82.40535705687587,40.10486067141743
SE-16 Chinese turnout,1.5,1.5,37.81794977869278,89.7404837759732,51.92253399728042
SE-16 Chinese turnout,2.0,2.0,36.57535114253655,91.15592677014438,54.58057562760783
SE-16 Chinese turnout,3.0,3.0,36.562044338564284,91.15592677014438,54.5938824315801
