election,dim,group,party,share_of_registered,turnout,share_of_voters,error,se_sampling,rmse_ident,cite
jhr_se16,ethnicity,Malay,PN,0.06770560322822244,0.7554336506951675,0.08962481770029464,0.02681221098473681,0.013598801201646415,0.0014855247544775854,True
jhr_se16,ethnicity,Chinese,PN,0.0003819106741954631,0.6098931078017992,0.0006261928021648918,0.003484723858074947,0.0004490328254941498,0.0017202820239458146,True
jhr_se16,ethnicity,Indian,PN,9.157055122514994e-05,0.5532688772737465,0.00016550822753010674,0.008921808651883668,0.00012696976742968607,0.004550172027599391,True
jhr_se16,ethnicity,Other,PN,0.0005290217891099222,0.6566930141492585,0.0008055846152029903,0.022007523441737217,0.00912629377640142,0.006541109846080582,True
jhr_se16,age,18-29,BN,0.4287134959133409,0.6601982904999473,0.6493708058357585,0.026168802450665135,0.009576352032035867,0.009303448825253807,True
jhr_se16,age,30-39,BN,0.41826601510428746,0.6564302260695141,0.6371827476755988,0.025044667820765556,0.00993315662102442,0.008037842807402492,True
jhr_se16,age,40-49,BN,0.403988058420907,0.6806837304928401,0.5935033266160259,0.018578846069898042,0.00938116968236014,0.0013583648631923936,True
jhr_se16,age,50-59,BN,0.39403598955016395,0.7501165120752468,0.5252997143870856,0.018034407644432683,0.009160319388242454,0.0008666905968327339,True
jhr_se16,age,60-69,BN,0.4053342584246141,0.7906543814674385,0.5126566903636478,0.015179144976819955,0.00768909923758181,0.0009243593952440547,True
jhr_se16,age,70+,BN,0.30551492827313187,0.5967348987211959,0.5119776452288126,0.021562998747669548,0.01024994370257423,0.003996537982741383,True
jhr_se16,age,18-29,PH,0.17736160999839523,0.6601982904999473,0.26864899917278623,0.014489212448359797,0.0035020252437883252,0.006510316045299245,True
jhr_se16,age,30-39,PH,0.18297720335386666,0.6564302260695141,0.2787458530809486,0.013179999641671498,0.003576026846171422,0.005694803995935256,True
jhr_se16,age,40-49,PH,0.2103528892492088,0.6806837304928401,0.3090317570788794,0.007363208172784716,0.0035806737884350767,0.0011366011220256811,True
jhr_se16,age,50-59,PH,0.2833806534061374,0.7501165120752468,0.3777821829600126,0.008854474332710605,0.004433890682877648,0.0008655768542600773,True
jhr_se16,age,60-69,PH,0.32403193790776935,0.7906543814674385,0.40982753716784903,0.010072639901559136,0.005056372080773403,0.0009184065823346984,True
jhr_se16,age,70+,PH,0.24563758496087962,0.5967348987211959,0.41163603048402475,0.01684916019090749,0.008036966428113268,0.003050763838269148,True
jhr_se16,age,18-29,PN,0.034462963862690314,0.6601982904999473,0.05220092865825599,0.02030414360720779,0.008603637678500723,0.005769889348752055,True
jhr_se16,age,30-39,PN,0.03761983120892299,0.6564302260695141,0.0573097181008529,0.020398589223199825,0.009122302834973759,0.005009837402741728,True
jhr_se16,age,40-49,PN,0.04485921661125536,0.6806837304928401,0.06590317147550395,0.018475877315850146,0.00936282646903615,0.0010935171743402473,True
jhr_se16,age,50-59,PN,0.04437202723913888,0.7501165120752468,0.05915351352069392,0.01923022053352034,0.009784375090048938,0.0007268685989631064,True
jhr_se16,age,60-69,PN,0.032232572234793415,0.7906543814674385,0.04076695581572623,0.013484937865238359,0.0068634178031760935,0.00047839725567554896,True
jhr_se16,age,70+,PN,0.018299168924466046,0.5967348987211959,0.030665491432931444,0.009653925220454588,0.004543089702835716,0.0019027902878814658,True
