election,dim,group,estimand,rate,error
jhr_se16,ethnicity,Chinese,PH,0.5223475767828771,0.01638207890848633
jhr_se16,ethnicity,Indian,PH,0.17325866616445834,0.04797502185276246
jhr_se16,ethnicity,Other,PH,0.07863520111486452,0.04740457103097048
jhr_se16,ethnicity,Malay,PN,0.06770560322822244,0.021748453106733633
jhr_se16,ethnicity,Chinese,PN,0.0003819106741954631,0.0024434483652495823
jhr_se16,ethnicity,Indian,PN,9.157055122514994e-05,0.005838521626065885
jhr_se16,ethnicity,Other,PN,0.0005290217891099222,0.015126202709143857
jhr_se16,age,18-29,turnout,0.6601982904999473,0.08028420017481065
jhr_se16,age,30-39,turnout,0.6564302260695141,0.0313107491546593
jhr_se16,age,40-49,turnout,0.6806837304928401,0.013852576961075247
jhr_se16,age,50-59,turnout,0.7501165120752468,0.013303379070868522
jhr_se16,age,60-69,turnout,0.7906543814674385,0.011717341697501984
jhr_se16,age,70+,turnout,0.5967348987211959,0.02152937609062717
jhr_se16,age,18-29,BN,0.4287134959133409,0.0862586494033199
jhr_se16,age,30-39,BN,0.41826601510428746,0.03299295557244558
jhr_se16,age,40-49,BN,0.403988058420907,0.016399129785631832
jhr_se16,age,50-59,BN,0.39403598955016395,0.015283432178512722
jhr_se16,age,60-69,BN,0.4053342584246141,0.015038236514205877
jhr_se16,age,70+,BN,0.30551492827313187,0.021532483757936816
jhr_se16,age,18-29,PH,0.17736160999839523,0.020702976369714764
jhr_se16,age,30-39,PH,0.18297720335386666,0.011279656086980875
jhr_se16,age,40-49,PH,0.2103528892492088,0.007885067544458056
jhr_se16,age,50-59,PH,0.2833806534061374,0.009680874217094036
jhr_se16,age,60-69,PH,0.32403193790776935,0.00959674475558576
jhr_se16,age,70+,PH,0.24563758496087962,0.011057775800646865
jhr_se16,age,18-29,PN,0.034462963862690314,0.01726233154258485
jhr_se16,age,30-39,PN,0.03761983120892299,0.013621797057962695
jhr_se16,age,40-49,PN,0.04485921661125536,0.01261223351107848
jhr_se16,age,50-59,PN,0.04437202723913888,0.014536140074407592
jhr_se16,age,60-69,PN,0.032232572234793415,0.010820823965091276
jhr_se16,age,70+,PN,0.018299168924466046,0.006179088734471842
