election,eth,age,estimand,registered,share,rate,se_sampling,rmse_ident,error,lo,hi,bound_lo,bound_hi,cite
ge15,Indian,70+,BN,11753,0.0045316055679409245,0.10147859573861527,0.08739966121903672,0.020880246253275652,0.17612413713507585,0.0,0.27760273287369114,0.0,0.9627329192546584,False
ge15,Other,18-29,BN,25718,0.009916092231456198,0.23430083688176706,0.08886332807387175,0.07864198734081009,0.23258233484600965,0.0017185020357574077,0.4668831717277767,0.0,0.9394198615755502,False
ge15,Other,30-39,BN,19650,0.0075764527703598376,0.18510233917106889,0.10441928214615759,0.023185319300694788,0.20964621697135646,0.0,0.3947485561424253,0.0,0.9679389312977099,False
ge15,Other,40-49,BN,11446,0.004413235542470162,0.1683640641958071,0.09357197879590778,0.022838624888230727,0.18878491687277849,0.0,0.3571489810685856,0.0,0.9872444522103792,False
ge15,Other,50-59,BN,6439,0.0024826859739616788,0.36794615145899967,0.20323798294939902,0.03805152996363183,0.4052680802566874,0.0,0.7732142317156872,0.0,0.9998446963814257,False
ge15,Other,60-69,BN,3499,0.001349109834274253,0.3091849056254637,0.16746353362285887,0.07252049101087292,0.35768392608111393,0.0,0.6668688317065776,0.0,1.0,False
ge15,Other,70+,BN,1245,0.00048003479384722635,0.006796430357309947,0.008302168691392865,0.10056770087784704,0.19778321507781127,0.0,0.20457964543512122,0.0,1.0,False
ge15,Malay,18-29,PH,418053,0.1611887435118189,0.09342122516285947,0.008493236171782898,0.016965272784052136,0.037186088897394144,0.05623513626546533,0.1306073140602536,0.011768842706546778,0.4511294022528244,True
ge15,Malay,30-39,PH,322091,0.12418866408437508,0.04977757119555971,0.007936571592036612,0.006350169194921014,0.019922107345262084,0.029855463850297623,0.06969967854082179,0.0019280265515025257,0.4836304025880885,True
ge15,Malay,40-49,PH,234120,0.09026967545021095,0.048266061650765135,0.006255490000832285,0.0016433043234165758,0.012676761845452073,0.035589299805313064,0.060942823496217206,0.0015633008713480266,0.5230351956261746,True
ge15,Malay,50-59,PH,187795,0.07240813984782318,0.06748725514456701,0.005715151747978399,0.0015089814936543775,0.011585570552795008,0.055901684591772,0.07907282569736201,0.0006283447376128225,0.563039484544317,True
ge15,Malay,60-69,PH,132538,0.05110269197343267,0.04445514072882142,0.011481746616060958,0.0017509521133354522,0.022764397083844742,0.021690743644976675,0.06721953781266615,0.0010034857927537762,0.5397470914002022,True
ge15,Malay,70+,PH,84876,0.032725649126568016,0.025706576995142543,0.004373325445988105,0.003589067657436967,0.011088713139906203,0.01461786385523634,0.036795290135048744,0.0,0.4902917196851878,True
ge15,Chinese,18-29,PH,219348,0.08457403370345494,0.6369795554867494,0.010231537532862748,0.018410543368370853,0.04128266569376563,0.5956968897929839,0.678262221180515,0.08975691595090905,0.8882278388679177,True
ge15,Chinese,30-39,PH,174553,0.06730242037784329,0.6119513379962188,0.010464005278007765,0.009178712332107212,0.027281634667960408,0.5846697033282584,0.6392329726641792,0.04615790046576112,0.9238741241915063,True
ge15,Chinese,40-49,PH,176944,0.06822431852409928,0.6588591092094802,0.016006112016995255,0.002003537112971948,0.03161679777980402,0.6272423114296762,0.6904759069892842,0.10667216746541279,0.942840672755222,True
ge15,Chinese,50-59,PH,160446,0.061863182757921346,0.6910813349566102,0.01087204653578126,0.0015712062656851721,0.021530587510730212,0.66955074744588,0.7126119224673404,0.1517644565772908,0.952314174239308,True
ge15,Chinese,60-69,PH,126660,0.0488363108342889,0.6838043114183598,0.010971450554925308,0.0022959529227636814,0.021969853861093413,0.6618344575572664,0.7057741652794532,0.1533633349123638,0.9264803410705826,True
ge15,Chinese,70+,PH,101231,0.03903164836622375,0.43970181499064326,0.014070044487371923,0.0019271897849994079,0.027834775079760028,0.41186703991088325,0.46753659007040327,0.09874445574972093,0.7701099465578726,True
ge15,Indian,18-29,PH,49587,0.019119265319279044,0.6769517666614774,0.05600062740905816,0.033521512613408265,0.12792303154328893,0.5490287351181884,0.8048747982047664,0.0009276624921854518,0.9995361687539073,False
ge15,Indian,30-39,PH,39980,0.015415093219286835,0.5896161434785155,0.05255930227555391,0.012972216241398786,0.10610750411484295,0.4835086393636726,0.6957236475933585,0.0,0.9999499749874937,False
ge15,Indian,40-49,PH,36931,0.014239489937005554,0.6846124278338876,0.05300506878959183,0.008020004453994641,0.10507241351360937,0.5795400143202782,0.7896848413474971,0.000270775229482007,1.0,False
ge15,Indian,50-59,PH,27969,0.010784010561536606,0.6615633756882585,0.049391973870365126,0.007895050328434088,0.09803721142424165,0.5635261642640168,0.7596005871125002,0.001966462869605635,0.999535199685366,False
ge15,Indian,60-69,PH,20690,0.007977445690521376,0.554550402106019,0.05482003156365717,0.013125372696058917,0.11048405899126633,0.4440663431147527,0.6650344610972854,0.0,0.9956984050265829,False
ge15,Indian,70+,PH,11753,0.0045316055679409245,0.12958604650843208,0.06663946513733171,0.016696026384230754,0.13465036823751209,0.0,0.26423641474594417,0.0,0.9977877988598656,False
ge15,Other,18-29,PH,25718,0.009916092231456198,0.10162766365617605,0.03864838532859507,0.028513459420279195,0.09413541608507055,0.007492247571105504,0.1957630797412466,0.0,0.9068745625631853,False
ge15,Other,30-39,PH,19650,0.0075764527703598376,0.11337891600493871,0.05595567575452033,0.02225085790918742,0.11802615386594623,0.0,0.23140506987088494,0.0,0.9133842239185751,False
ge15,Other,40-49,PH,11446,0.004413235542470162,0.125488367690343,0.08850016389498101,0.018453453579190232,0.17719103502924397,0.0,0.30267940271958693,0.0,0.9539577144854098,False
ge15,Other,50-59,PH,6439,0.0024826859739616788,0.24870893106247177,0.12493029139481727,0.027361140912950457,0.25066714052181804,0.0,0.4993760715842898,0.0,0.9714241341823264,False
ge15,Other,60-69,PH,3499,0.001349109834274253,0.2746147463815046,0.10155764911334826,0.0529380153556086,0.224472542076015,0.05014220430548963,0.4990872884575196,0.0,0.9791368962560731,False
ge15,Other,70+,PH,1245,0.00048003479384722635,0.29984577417358305,0.13094475832987765,0.10698708752263568,0.33142415767154076,0.0,0.6312699318451238,0.0,0.989558232931727,False
ge15,Malay,18-29,PN,418053,0.1611887435118189,0.4209820675380812,0.013683342515985849,0.032629565383588424,0.06934973028095219,0.351632337257129,0.4903317978190334,0.10794803529695995,0.5496408350137423,False
ge15,Malay,30-39,PN,322091,0.12418866408437508,0.36400852430796987,0.01336584740307889,0.016846297307847806,0.04214882408035764,0.32185970022761223,0.4061573483883275,0.05103837114355881,0.6531725506145779,True
ge15,Malay,40-49,PN,234120,0.09026967545021095,0.365992734618999,0.014530644409148879,0.0040460374202426225,0.029563534831909953,0.3364291997870891,0.39555626945090894,0.033675038441824706,0.6777806253203486,True
ge15,Malay,50-59,PN,187795,0.07240813984782318,0.32512496872552127,0.016352776854604612,0.0026340618729908043,0.03246458191519303,0.29266038681032824,0.3575895506407143,0.01668308527916079,0.6179237998881759,True
ge15,Malay,60-69,PN,132538,0.05110269197343267,0.20901297120520346,0.014488765064711393,0.003088417382582256,0.02903597180617669,0.17997699939902678,0.23804894301138013,0.005990734732680439,0.5110911587620154,True
ge15,Malay,70+,PN,84876,0.032725649126568016,0.08995780343017222,0.010844539983068488,0.007605219646286951,0.025961190584829468,0.06399661284534275,0.11591899401500169,0.000270983552476554,0.46888401903954,True
ge15,Chinese,18-29,PN,219348,0.08457403370345494,0.00047641380843496244,0.0014891575828595114,0.02047192706454329,0.040230993995976905,0.0,0.040707407804411865,0.0,0.44304940095191203,True
ge15,Chinese,30-39,PN,174553,0.06730242037784329,0.0020729758235994364,0.0018963180888674103,0.0014242351478687713,0.004648328351477397,0.0,0.006721304175076833,0.0,0.4615159865484982,True
ge15,Chinese,40-49,PN,176944,0.06822431852409928,0.003735936940252464,0.0028650250211243833,0.0007409073142050376,0.005800180157175398,0.0,0.009536117097427861,0.0,0.3854552852880007,True
ge15,Chinese,50-59,PN,160446,0.061863182757921346,0.003692869373616145,0.0024797540116411345,0.0005344093960727228,0.0049719035935025975,0.0,0.008664772967118742,0.0,0.3327038380514316,True
ge15,Chinese,60-69,PN,126660,0.0488363108342889,0.017203359264264848,0.003837282328386968,0.0008982770323654363,0.007724398865351003,0.009478960398913844,0.02492775812961585,7.895152376440865e-06,0.2709853150165798,True
ge15,Chinese,70+,PN,101231,0.03903164836622375,0.01104655045716636,0.0018824124241024363,0.0007403228625044202,0.003964607883736063,0.007081942573430298,0.015011158340902424,0.0,0.21159526232083056,True
ge15,Indian,18-29,PN,49587,0.019119265319279044,0.0006656690438790824,0.007012357920542871,0.037530480665025664,0.07483274205609575,0.0,0.07549841109997484,0.0,0.8528444955331035,False
ge15,Indian,30-39,PN,39980,0.015415093219286835,0.0016403836500422481,0.009621448236109635,0.004235510068507807,0.020604421268963193,0.0,0.02224480491900544,0.0,0.8389694847423712,True
ge15,Indian,40-49,PN,36931,0.014239489937005554,0.01367955937959349,0.020496123477534146,0.003941511776190245,0.04090847245340364,0.0,0.05458803183299713,0.0,0.7752024044840378,False
ge15,Indian,50-59,PN,27969,0.010784010561536606,0.010526564101753814,0.016868072109716272,0.004026678517510377,0.03399037835137006,0.0,0.044516942453123876,0.0,0.7879437949157997,False
ge15,Indian,60-69,PN,20690,0.007977445690521376,0.009744955252268924,0.013321393803762733,0.005358526618258402,0.028143125349820608,0.0,0.037888080602089536,0.0,0.7234412759787336,False
ge15,Indian,70+,PN,11753,0.0045316055679409245,0.004192687884518735,0.005998200996100996,0.0061394675442686935,0.0168230896604461,0.0,0.021015777544964837,0.0,0.6894409937888198,False
ge15,Other,18-29,PN,25718,0.009916092231456198,0.2772261004532826,0.09356234468250932,0.07699868032946175,0.2374975691161037,0.03972853133717891,0.5147236695693863,0.0,0.9684656660704565,False
ge15,Other,30-39,PN,19650,0.0075764527703598376,0.347492409335366,0.14782151664708998,0.023966456132544566,0.29351346386824895,0.05397894546711707,0.641005873203615,0.0,0.9795928753180662,False
ge15,Other,40-49,PN,11446,0.004413235542470162,0.24297272141453943,0.09832560984932603,0.02300900501510723,0.19792448262316248,0.045048238791376954,0.44089720403770194,0.0,0.9585881530665735,False
