election,short,dim,group,party,share_of_registered,turnout,share_of_voters,error,lo,hi,se_sampling,rmse_ident,cite
jhr_se15,SE-15,age,50-59,PN,0.1283181797066242,0.6233960496901847,0.2058373320947346,0.0216994342692926,0.184137897825442,0.2275367663640272,0.01092922432238119,0.0017669734389795602,True
jhr_se15,SE-15,age,60-69,BN,0.2896403326734889,0.6534321226138136,0.4432600153094553,0.03814963842848061,0.4051103768809747,0.4814096537379359,0.019299906014623606,0.0025228683813357227,True
jhr_se15,SE-15,age,60-69,PH,0.2135378170943118,0.6534321226138136,0.3267941836714925,0.05385932370755128,0.2729348599639412,0.3806535073790438,0.027403590689307894,0.002037700040438958,False
jhr_se15,SE-15,age,60-69,PN,0.0970049131397,0.6534321226138136,0.14845446035261892,0.018480722788748585,0.12997373756387032,0.16693518314136752,0.009293826776839152,0.001590502155295791,True
jhr_se15,SE-15,age,70+,BN,0.2418053564986831,0.4649762152087573,0.5200381193479355,0.0485905435726517,0.47144757577528384,0.5686286629205872,0.02326746891918766,0.008557056440712498,True
jhr_se15,SE-15,age,70+,PH,0.1374447487049928,0.4649762152087573,0.2955952244638688,0.056062806914055914,0.23953241754981291,0.35165803137792473,0.02773910889526641,0.006978574389861784,False
jhr_se15,SE-15,age,70+,PN,0.04709403668224,0.4649762152087573,0.10128267885938316,0.018881250448553565,0.08240142841082959,0.12016392930793673,0.007547263560003581,0.005986577412595176,True
ge15,GE-15,ethnicity,Malay,BN,0.3642503481084921,0.7776321420493914,0.46840958393069704,0.053178429325542884,0.41523115460515414,0.5215880132562399,0.016329181346373848,0.02166783821818089,False
ge15,GE-15,ethnicity,Malay,PH,0.0626632022308471,0.7776321420493914,0.08058206296064734,0.03549400879302599,0.04508805416762134,0.11607607175367332,0.00861101979976865,0.015930883020462784,True
ge15,GE-15,ethnicity,Malay,PN,0.3412714518093016,0.7776321420493914,0.43885975560360224,0.05112526168183951,0.38773449392176274,0.48998501728544175,0.016610146888281285,0.020112051693876594,False
ge15,GE-15,ethnicity,Chinese,BN,0.0576135519351726,0.6957484439425052,0.08280802125650694,0.05957251395245812,0.023235507304048816,0.14238053520896504,0.011327709315973943,0.028204374379023935,False
ge15,GE-15,ethnicity,Chinese,PH,0.626453816466359,0.6957484439425052,0.9004027560830987,0.055308225308089196,0.8450945307750095,0.9557109813911879,0.011186759765682883,0.025906353453600536,False
ge15,GE-15,ethnicity,Chinese,PN,0.0026618876609301,0.6957484439425052,0.003825934048585628,0.02662327563920136,0.0,0.03044920968778699,0.0020338172701123663,0.013430179897716794,True
ge15,GE-15,ethnicity,Indian,BN,0.0562542803495697,0.686616443432559,0.0819297016371195,0.16350237719085742,0.0,0.2454320788279769,0.05497879212376725,0.06273881396120395,False
ge15,GE-15,ethnicity,Indian,PH,0.6231482120463793,0.686616443432559,0.9075637759723799,0.15757856304122805,0.7499852129311518,1.0,0.055663168311093,0.05801142688065682,False
ge15,GE-15,ethnicity,Indian,PN,0.0003502881959723,0.686616443432559,0.0005101657545821739,0.09975024276105726,0.0,0.10026040851563943,0.006820062160169926,0.05043393963644605,False
ge15,GE-15,ethnicity,Other,BN,0.0964323430638509,0.6453165979537617,0.14943415893784354,0.27719229489175307,0.0,0.42662645382959663,0.10415477553672124,0.09566980507448589,False
ge15,GE-15,ethnicity,Other,PH,0.170565576857562,0.6453165979537617,0.26431301689497744,0.20432071756644352,0.05999229932853392,0.468633734461421,0.062071817281870494,0.08375060942587773,False
ge15,GE-15,ethnicity,Other,PN,0.3742450322980842,0.6453165979537617,0.5799401928987725,0.399001134324295,0.1809390585744775,0.9789413272230676,0.13140193496700137,0.15548341920109715,False
ge15,GE-15,age,18-29,BN,0.1767509660307662,0.7408669152950814,0.23857316662651576,0.04903867777604047,0.1895344888504753,0.2876118444025562,0.017291746766779557,0.018082659127659953,True
ge15,GE-15,age,18-29,PH,0.3030563876967491,0.7408669152950814,0.40905644649558165,0.07381565146885005,0.3352407950267316,0.4828720979644317,0.027343997592919275,0.025897108559666964,False
ge15,GE-15,age,18-29,PN,0.2557987880403279,0.7408669152950814,0.34526955214141974,0.05883857558074702,0.28643097656067273,0.40410812772216675,0.018648289503688204,0.023524935091723105,False
ge15,GE-15,age,30-39,BN,0.2035345876930999,0.6992538770058526,0.2910739495140423,0.05290870766213841,0.2381652418519039,0.3439826571761807,0.018575077518225597,0.019587123651897523,False
ge15,GE-15,age,30-39,PH,0.2614813419096756,0.6992538770058526,0.37394335663795975,0.08072750402256354,0.2932158526153962,0.4546708606605233,0.029750544883006456,0.028483598868028762,False
ge15,GE-15,age,30-39,PN,0.2284250746345924,0.6992538770058526,0.32666972918718695,0.06176336972496422,0.26490635946222274,0.38843309891215116,0.019870692018560045,0.024457246586652038,False
ge15,GE-15,age,40-49,BN,0.2092357349040348,0.7503515295936641,0.2788502810373981,0.04138454641821241,0.23746573461918571,0.32023482745561055,0.020323778817108364,0.005724408142280128,True
ge15,GE-15,age,40-49,PH,0.3407358700235541,0.7503515295936641,0.45410165313859213,0.06663114949738976,0.3874705036412024,0.5207328026359819,0.033062422681597044,0.00791006754458506,False
ge15,GE-15,age,40-49,PN,0.1923501035573885,0.7503515295936641,0.2563466534965969,0.038216839661466474,0.21812981383513044,0.2945634931580634,0.018672058843438758,0.0056161674529793286,True
ge15,GE-15,age,50-59,BN,0.2540666341144261,0.8021136898526117,0.3167464130441544,0.03469127431807456,0.28205513872607985,0.35143768736222897,0.01751625831770173,0.0025411784629308164,True
ge15,GE-15,age,50-59,PH,0.3744505805990093,0.8021136898526117,0.4668298089611394,0.05188823662415946,0.4149415723369799,0.5187180455852989,0.026318604870589676,0.0028604215090240036,False
ge15,GE-15,age,50-59,PN,0.1623199967383022,0.8021136898526117,0.20236532400803242,0.03127188153591451,0.1710934424721179,0.23363720554394693,0.015855585293007304,0.001778698252236507,True
ge15,GE-15,age,60-69,BN,0.3139227945702904,0.8051444038183657,0.38989626342991873,0.04797841182271421,0.3419178516072045,0.43787467525263296,0.024324303049706855,0.0027457288534792133,True
ge15,GE-15,age,60-69,PH,0.3698008286600741,0.8051444038183657,0.4592975209245797,0.05688640703012893,0.4024111138944508,0.5161839279547087,0.028846224986282813,0.0032045489390334038,False
ge15,GE-15,age,60-69,PN,0.1066150538512632,0.8051444038183657,0.13241730718818326,0.021681000442530567,0.11073630674565269,0.15409830763071383,0.010826050308716324,0.0022712582737184164,True
