dim,group,estimand,model,estimate,se,ci_lo,ci_hi,lo,hi,violates,excess
age,18-29,BN,M3_probit,0.21304916856489875,,,,0.1315417610686302,0.29856243509865,False,0.0
age,18-29,BN,M2ml_logit_noprior,0.21304906810014312,,,,0.1315417610686302,0.29856243509865,False,0.0
age,18-29,BN,M4_context,0.2757718900000582,,,,0.1315417610686302,0.29856243509865,False,0.0
age,18-29,BN,M5_within_seat,0.21502251236072675,0.010754102248264875,0.19491857102600496,0.23575992303410212,0.1315417610686302,0.29856243509865,False,0.0
age,30-39,BN,M1_lpm,0.20009732666921518,0.009240326472362522,0.18250612491469423,0.2178613101871749,0.0594729900680967,0.3826070573035824,False,0.0
age,30-39,BN,M2_logit,0.19971194646319906,0.009245816815705148,0.1821750095688421,0.21742171691877935,0.0594729900680967,0.3826070573035824,False,0.0
age,30-39,BN,M3_probit,0.1997117042832633,,,,0.0594729900680967,0.3826070573035824,False,0.0
age,30-39,BN,M2ml_logit_noprior,0.19971154888830928,,,,0.0594729900680967,0.3826070573035824,False,0.0
age,30-39,BN,M4_context,0.06987580346661819,,,,0.0594729900680967,0.3826070573035824,False,0.0
age,30-39,BN,M5_within_seat,0.1968022598373997,0.00906336812596299,0.17927958240090627,0.21450050974575763,0.0594729900680967,0.3826070573035824,False,0.0
age,40-49,BN,M1_lpm,0.20042989380002735,0.011151073815430568,0.17893506821329974,0.22253752344338584,0.0461401103973827,0.4073711215913559,False,0.0
age,40-49,BN,M2_logit,0.19935203964085021,0.011351867671462075,0.17737277752022357,0.22164736468190507,0.0461401103973827,0.4073711215913559,False,0.0
age,40-49,BN,M3_probit,0.19935166037343055,,,,0.0461401103973827,0.4073711215913559,False,0.0
age,40-49,BN,M2ml_logit_noprior,0.19935149513471603,,,,0.0461401103973827,0.4073711215913559,False,0.0
age,40-49,BN,M4_context,0.16802252562645392,,,,0.0461401103973827,0.4073711215913559,False,0.0
age,40-49,BN,M5_within_seat,0.19623927102458008,0.01039680921950766,0.1763501817895575,0.21680093957695806,0.0461401103973827,0.4073711215913559,False,0.0
age,50-59,BN,M1_lpm,0.24722038965724294,0.012148008271353582,0.22394623048002052,0.2721901722426181,0.0472522469790975,0.475547924714819,False,0.0
age,50-59,BN,M2_logit,0.24705442544352504,0.012238137074535624,0.22419376909773103,0.27220997020515686,0.0472522469790975,0.475547924714819,False,0.0
age,50-59,BN,M3_probit,0.2470541383337046,,,,0.0472522469790975,0.475547924714819,False,0.0
age,50-59,BN,M2ml_logit_noprior,0.24705396749091563,,,,0.0472522469790975,0.475547924714819,False,0.0
age,50-59,BN,M4_context,0.2456550916577198,,,,0.0472522469790975,0.475547924714819,False,0.0
age,50-59,BN,M5_within_seat,0.2525032631720427,0.012963743500684159,0.22823037315365663,0.27880969902737995,0.0472522469790975,0.475547924714819,False,0.0
