cluster,dim,group,estimand,registered,lo,hi
N.03 Pemanis,ethnicity,Chinese,PN,10008,0.0,0.20743405275779375
N.03 Pemanis,ethnicity,Indian,PN,730,0.0,0.810958904109589
N.03 Pemanis,ethnicity,Other,PN,509,0.0,1.0
N.03 Pemanis,age,18-29,turnout,6752,0.398696682464455,0.6649881516587678
N.03 Pemanis,age,30-39,turnout,6880,0.2449127906976744,0.7543604651162791
N.03 Pemanis,age,40-49,turnout,5507,0.28327583076084983,0.8082440530234247
N.03 Pemanis,age,50-59,turnout,4062,0.3119153126538651,0.92959133431807
N.03 Pemanis,age,60-69,turnout,3952,0.3200910931174089,0.9838056680161943
N.03 Pemanis,age,70+,turnout,2765,0.2831826401446655,0.9095840867992767
N.03 Pemanis,age,18-29,BN,6752,0.15639810426540285,0.34700829383886256
N.03 Pemanis,age,30-39,BN,6880,0.10901162790697674,0.47194767441860463
N.03 Pemanis,age,40-49,BN,5507,0.09914654076629743,0.46195750862538587
N.03 Pemanis,age,50-59,BN,4062,0.057360905957656326,0.5209256523879862
N.03 Pemanis,age,60-69,BN,3952,0.11336032388663968,0.6399291497975709
N.03 Pemanis,age,70+,BN,2765,0.10018083182640145,0.6296564195298372
N.03 Pemanis,age,18-29,PH,6752,0.07597748815165876,0.17950236966824645
N.03 Pemanis,age,30-39,PH,6880,0.024854651162790696,0.20843023255813953
N.03 Pemanis,age,40-49,PH,5507,0.025240602869075722,0.2647539495187943
N.03 Pemanis,age,50-59,PH,4062,0.07163958641063516,0.4620876415558838
N.03 Pemanis,age,60-69,PH,3952,0.025050607287449393,0.4291497975708502
N.03 Pemanis,age,70+,PH,2765,0.015189873417721518,0.3508137432188065
N.03 Pemanis,age,18-29,PN,6752,0.06442535545023696,0.20364336492890994
N.03 Pemanis,age,30-39,PN,6880,0.04811046511627907,0.3002906976744186
N.03 Pemanis,age,40-49,PN,5507,0.04067550390412203,0.28836026874886506
N.03 Pemanis,age,50-59,PN,4062,0.007139340226489414,0.310930576070901
N.03 Pemanis,age,60-69,PN,3952,0.0,0.21027327935222673
N.03 Pemanis,age,70+,PN,2765,0.0,0.18698010849909585
N.04 Kemelah,ethnicity,Malay,turnout,18062,0.39242608791938877,0.8022367401173734
N.04 Kemelah,ethnicity,Chinese,turnout,13305,0.18241262683201803,0.7388199924840285
N.04 Kemelah,ethnicity,Indian,turnout,1859,0.0,1.0
N.04 Kemelah,ethnicity,Other,turnout,475,0.0,1.0
N.04 Kemelah,ethnicity,Malay,BN,18062,0.20047613774775772,0.3993466947181929
N.04 Kemelah,ethnicity,Chinese,BN,13305,0.0008267568583239384,0.2394588500563698
N.04 Kemelah,ethnicity,Indian,BN,1859,0.0,0.9903173749327595
N.04 Kemelah,ethnicity,Other,BN,475,0.0,1.0
N.04 Kemelah,ethnicity,Malay,PH,18062,0.00786180932344148,0.24792381796035876
N.04 Kemelah,ethnicity,Chinese,PH,13305,0.07500939496429913,0.4117249154453213
N.04 Kemelah,ethnicity,Indian,PH,1859,0.0,0.92845615922539
N.04 Kemelah,ethnicity,Other,PH,475,0.0,0.7263157894736842
N.04 Kemelah,ethnicity,Malay,PN,18062,0.09749750858155243,0.24753626397962572
N.04 Kemelah,ethnicity,Chinese,PN,13305,0.0,0.17324314167606164
N.04 Kemelah,ethnicity,Indian,PN,1859,0.0,0.841312533620226
N.04 Kemelah,ethnicity,Other,PN,475,0.0,1.0
N.04 Kemelah,age,18-29,turnout,9347,0.384722370814165,0.6043650369102386
N.04 Kemelah,age,30-39,turnout,8031,0.23483999501930022,0.6599427219524343
N.04 Kemelah,age,40-49,turnout,6025,0.27103734439834026,0.7855601659751037
N.04 Kemelah,age,50-59,turnout,4268,0.22656982193064668,0.9140112464854733
N.04 Kemelah,age,60-69,turnout,3384,0.3147163120567376,0.943853427895981
N.04 Kemelah,age,70+,turnout,2646,0.2808012093726379,0.8624338624338624
N.04 Kemelah,age,18-29,BN,9347,0.11864769444741628,0.25837167005456296
N.04 Kemelah,age,30-39,BN,8031,0.05877225750217906,0.32237579379902875
N.04 Kemelah,age,40-49,BN,6025,0.03435684647302904,0.38871369294605806
N.04 Kemelah,age,50-59,BN,4268,0.030927835051546393,0.5794283036551078
N.04 Kemelah,age,60-69,BN,3384,0.08392434988179669,0.6105200945626478
N.04 Kemelah,age,70+,BN,2646,0.07369614512471655,0.5657596371882087
N.04 Kemelah,age,18-29,PH,9347,0.0935059377340323,0.20519952926072538
N.04 Kemelah,age,30-39,PH,8031,0.04694309550491844,0.26982941103225005
N.04 Kemelah,age,40-49,PH,6025,0.02970954356846473,0.32597510373443983
N.04 Kemelah,age,50-59,PH,4268,0.05834114339268978,0.4939081537019681
N.04 Kemelah,age,60-69,PH,3384,0.07860520094562648,0.45685579196217496
N.04 Kemelah,age,70+,PH,2646,0.03250188964474679,0.3934240362811791
N.04 Kemelah,age,18-29,PN,9347,0.08815662779501444,0.20423665347170214
N.04 Kemelah,age,30-39,PN,8031,0.052421865272070725,0.27219524343170215
N.04 Kemelah,age,40-49,PN,6025,0.028713692946058092,0.300746887966805
N.04 Kemelah,age,50-59,PN,4268,0.004451733833177133,0.3830834114339269
N.04 Kemelah,age,60-69,PN,3384,0.0020685579196217494,0.2721631205673759
N.04 Kemelah,age,70+,PN,2646,0.0003779289493575208,0.25547996976568405
N.05 Tenang,ethnicity,Malay,turnout,10922,0.4467130562168101,0.7382347555392785
N.05 Tenang,ethnicity,Chinese,turnout,8584,0.21889561975768873,0.6832479030754893
N.05 Tenang,ethnicity,Indian,turnout,2544,0.049135220125786166,0.976808176100629
N.05 Tenang,ethnicity,Other,turnout,554,0.0,1.0
N.05 Tenang,ethnicity,Malay,BN,10922,0.22917048159677714,0.455868888481963
N.05 Tenang,ethnicity,Chinese,BN,8584,0.009203168685927307,0.24860205032618826
N.05 Tenang,ethnicity,Indian,BN,2544,0.0015723270440251573,0.6536949685534591
N.05 Tenang,ethnicity,Other,BN,554,0.0,1.0
N.05 Tenang,ethnicity,Malay,PH,10922,0.0,0.0
N.05 Tenang,ethnicity,Chinese,PH,8584,0.0,0.0
N.05 Tenang,ethnicity,Indian,PH,2544,0.0,0.0
N.05 Tenang,ethnicity,Other,PH,554,0.0,0.0
N.05 Tenang,ethnicity,Malay,PN,10922,0.12470243545138253,0.23768540560336934
N.05 Tenang,ethnicity,Chinese,PN,8584,0.0017474370922646784,0.11463187325256291
N.05 Tenang,ethnicity,Indian,PN,2544,0.0,0.2606132075471698
N.05 Tenang,ethnicity,Other,PN,554,0.0,0.8736462093862816
N.05 Tenang,age,18-29,turnout,4809,0.3241838220004159,0.6847577458931171
N.05 Tenang,age,30-39,turnout,4840,0.10144628099173554,0.7694214876033058
N.05 Tenang,age,40-49,turnout,4199,0.09954751131221719,0.8566325315551322
N.05 Tenang,age,50-59,turnout,3727,0.26240944459350685,0.9068956265092568
N.05 Tenang,age,60-69,turnout,2646,0.12887377173091458,1.0
N.05 Tenang,age,70+,turnout,2383,0.17289131347041545,0.8959295006294586
N.05 Tenang,age,18-29,BN,4809,0.10168434185901434,0.3374922021210231
N.05 Tenang,age,30-39,BN,4840,0.005785123966942148,0.4196280991735537
N.05 Tenang,age,40-49,BN,4199,0.0,0.4410573946177661
N.05 Tenang,age,50-59,BN,3727,0.08103031929165548,0.5226723906627314
N.05 Tenang,age,60-69,BN,2646,0.0,0.6572184429327287
N.05 Tenang,age,70+,BN,2383,0.004616030214015947,0.6017624842635334
N.05 Tenang,age,18-29,PH,4809,0.0,0.0
N.05 Tenang,age,30-39,PH,4840,0.0,0.0
N.05 Tenang,age,40-49,PH,4199,0.0,0.0
N.05 Tenang,age,50-59,PH,3727,0.0,0.0
N.05 Tenang,age,60-69,PH,2646,0.0,0.0
N.05 Tenang,age,70+,PH,2383,0.0,0.0
N.05 Tenang,age,18-29,PN,4809,0.032647119983364524,0.2164691203992514
N.05 Tenang,age,30-39,PN,4840,0.0006198347107438017,0.2981404958677686
N.05 Tenang,age,40-49,PN,4199,0.0,0.30197666110978805
N.05 Tenang,age,50-59,PN,3727,0.03971022269922189,0.2980949825596995
N.05 Tenang,age,60-69,PN,2646,0.0,0.2717309145880574
N.05 Tenang,age,70+,PN,2383,0.0,0.2522031053294167
N.06 Bekok,ethnicity,Malay,turnout,7804,0.19105586878523834,0.9032547411583803
N.06 Bekok,ethnicity,Chinese,turnout,13360,0.21661676646706587,0.7143712574850299
N.06 Bekok,ethnicity,Indian,turnout,5117,0.1326949384404925,0.9007230799296463
N.06 Bekok,ethnicity,Other,turnout,1100,0.33454545454545453,0.8118181818181818
N.06 Bekok,ethnicity,Malay,BN,7804,0.09443874935930292,0.6685033316248078
N.06 Bekok,ethnicity,Chinese,BN,13360,0.033607784431137724,0.37005988023952097
N.06 Bekok,ethnicity,Indian,BN,5117,0.047879616963064295,0.6796951338675005
N.06 Bekok,ethnicity,Other,BN,1100,0.20454545454545456,0.6818181818181818
N.06 Bekok,ethnicity,Malay,PH,7804,0.0,0.33815991799077394
N.06 Bekok,ethnicity,Chinese,PH,13360,0.02125748502994012,0.23585329341317365
N.06 Bekok,ethnicity,Indian,PH,5117,0.003126832128200117,0.4367793629079539
N.06 Bekok,ethnicity,Other,PH,1100,0.04090909090909091,0.35363636363636364
N.06 Bekok,ethnicity,Malay,PN,7804,0.03831368528959508,0.3359815479241415
N.06 Bekok,ethnicity,Chinese,PN,13360,0.0001497005988023952,0.16175149700598804
N.06 Bekok,ethnicity,Indian,PN,5117,0.0007817080320500293,0.39788938831346493
N.06 Bekok,ethnicity,Other,PN,1100,0.04090909090909091,0.42
N.06 Bekok,age,18-29,turnout,5719,0.22888616891064872,0.7373666724951915
N.06 Bekok,age,30-39,turnout,5550,0.06468468468468469,0.8133333333333334
N.06 Bekok,age,40-49,turnout,4823,0.061372589674476466,0.8834750155504872
N.06 Bekok,age,50-59,turnout,4349,0.09059553920441481,0.9648194987353415
N.06 Bekok,age,60-69,turnout,3815,0.1418086500655308,0.9800786369593709
N.06 Bekok,age,70+,turnout,3125,0.16128,0.89888
N.06 Bekok,age,18-29,BN,5719,0.07711138310893513,0.4228011890190593
N.06 Bekok,age,30-39,BN,5550,0.013333333333333334,0.5063063063063064
N.06 Bekok,age,40-49,BN,4823,0.0,0.5287165664524155
N.06 Bekok,age,50-59,BN,4349,0.0,0.6652103931938377
N.06 Bekok,age,60-69,BN,3815,0.0007863695937090433,0.7323722149410222
N.06 Bekok,age,70+,BN,3125,0.00096,0.62496
N.06 Bekok,age,18-29,PH,5719,0.028676342017835286,0.21087602727749608
N.06 Bekok,age,30-39,PH,5550,0.002162162162162162,0.2464864864864865
N.06 Bekok,age,40-49,PH,4823,0.0,0.33837860252954594
N.06 Bekok,age,50-59,PH,4349,0.0,0.422395953092665
N.06 Bekok,age,60-69,PH,3815,0.0002621231979030144,0.42935779816513764
N.06 Bekok,age,70+,PH,3125,0.0,0.34592
N.06 Bekok,age,18-29,PN,5719,0.048260185347088654,0.24759573351984612
N.06 Bekok,age,30-39,PN,5550,0.0018018018018018018,0.2754954954954955
N.06 Bekok,age,40-49,PN,4823,0.0,0.2772133526850508
N.06 Bekok,age,50-59,PN,4349,0.0,0.2950103472062543
N.06 Bekok,age,60-69,PN,3815,0.0,0.2490170380078637
N.06 Bekok,age,70+,PN,3125,0.0,0.21088
N.07 Bukit Kepong,ethnicity,Malay,turnout,26017,0.533843256332398,0.746819387323673
N.07 Bukit Kepong,ethnicity,Chinese,turnout,9765,0.24854070660522273,0.7438812083973374
N.07 Bukit Kepong,ethnicity,Indian,turnout,1021,0.030362389813907934,1.0
N.07 Bukit Kepong,ethnicity,Other,turnout,625,0.0,1.0
N.07 Bukit Kepong,ethnicity,Malay,BN,26017,0.20302110158742362,0.33670292501057003
N.07 Bukit Kepong,ethnicity,Chinese,BN,9765,0.017511520737327188,0.3055811571940604
N.07 Bukit Kepong,ethnicity,Indian,BN,1021,0.0,0.9157688540646425
N.07 Bukit Kepong,ethnicity,Other,BN,625,0.0,0.9504
N.07 Bukit Kepong,ethnicity,Malay,PH,26017,0.0,0.0
N.07 Bukit Kepong,ethnicity,Chinese,PH,9765,0.0,0.0
N.07 Bukit Kepong,ethnicity,Indian,PH,1021,0.0,0.0
N.07 Bukit Kepong,ethnicity,Other,PH,625,0.0,0.0
N.07 Bukit Kepong,ethnicity,Malay,PN,26017,0.22123995848868047,0.3700657262559096
N.07 Bukit Kepong,ethnicity,Chinese,PN,9765,0.003686635944700461,0.3211469534050179
N.07 Bukit Kepong,ethnicity,Indian,PN,1021,0.0,0.871694417238002
N.07 Bukit Kepong,ethnicity,Other,PN,625,0.0,1.0
N.07 Bukit Kepong,age,18-29,turnout,8237,0.35571203107927646,0.8459390554813646
N.07 Bukit Kepong,age,30-39,turnout,8698,0.15980685214991952,0.8846861347436192
N.07 Bukit Kepong,age,40-49,turnout,6211,0.15907261310578008,0.9689260988568669
N.07 Bukit Kepong,age,50-59,turnout,5539,0.18378768730817838,0.9727387615092977
N.07 Bukit Kepong,age,60-69,turnout,5093,0.22462203023758098,0.9844885136461811
N.07 Bukit Kepong,age,70+,turnout,3650,0.0789041095890411,0.9972602739726028
N.07 Bukit Kepong,age,18-29,BN,8237,0.050261017360689574,0.36360325361175183
N.07 Bukit Kepong,age,30-39,BN,8698,0.05530006898137503,0.5120717406300299
N.07 Bukit Kepong,age,40-49,BN,6211,0.017227499597488326,0.5047496377394944
N.07 Bukit Kepong,age,50-59,BN,5539,0.012818198230727568,0.6855027983390504
N.07 Bukit Kepong,age,60-69,BN,5093,0.08207343412526998,0.6862360102100923
N.07 Bukit Kepong,age,70+,BN,3650,0.0052054794520547945,0.6947945205479452
N.07 Bukit Kepong,age,18-29,PH,8237,0.0,0.0
N.07 Bukit Kepong,age,30-39,PH,8698,0.0,0.0
N.07 Bukit Kepong,age,40-49,PH,6211,0.0,0.0
N.07 Bukit Kepong,age,50-59,PH,5539,0.0,0.0
N.07 Bukit Kepong,age,60-69,PH,5093,0.0,0.0
N.07 Bukit Kepong,age,70+,PH,3650,0.0,0.0
N.07 Bukit Kepong,age,18-29,PN,8237,0.08340415199708631,0.46376107806240136
N.07 Bukit Kepong,age,30-39,PN,8698,0.05690963439871235,0.6288802023453668
N.07 Bukit Kepong,age,40-49,PN,6211,0.01143133150861375,0.6319433263564643
N.07 Bukit Kepong,age,50-59,PN,5539,0.033218992597941865,0.6580610218450984
N.07 Bukit Kepong,age,60-69,PN,5093,0.04339289220498724,0.5144315727469075
N.07 Bukit Kepong,age,70+,PN,3650,0.0,0.5424657534246575
N.08 Bukit Pasir,ethnicity,Malay,turnout,19944,0.41526273565984756,0.8209987966305656
N.08 Bukit Pasir,ethnicity,Chinese,turnout,10681,0.1734856286864526,0.8910214399400805
N.08 Bukit Pasir,ethnicity,Indian,turnout,1351,0.0,1.0
N.08 Bukit Pasir,ethnicity,Other,turnout,210,0.0,1.0
N.08 Bukit Pasir,ethnicity,Malay,BN,19944,0.06603489771359808,0.29387284396309665
N.08 Bukit Pasir,ethnicity,Chinese,BN,10681,0.0,0.4100739631120682
N.08 Bukit Pasir,ethnicity,Indian,BN,1351,0.0,0.9659511472982976
N.08 Bukit Pasir,ethnicity,Other,BN,210,0.0,1.0
N.08 Bukit Pasir,ethnicity,Malay,PH,19944,0.0006518251103088648,0.19830525471319696
N.08 Bukit Pasir,ethnicity,Chinese,PH,10681,0.03595168991667447,0.43010954030521487
N.08 Bukit Pasir,ethnicity,Indian,PH,1351,0.0,0.8460399703923019
N.08 Bukit Pasir,ethnicity,Other,PH,210,0.0,0.9619047619047619
N.08 Bukit Pasir,ethnicity,Malay,PN,19944,0.07355595667870037,0.2877557160048135
N.08 Bukit Pasir,ethnicity,Chinese,PN,10681,0.0,0.378335361857504
N.08 Bukit Pasir,ethnicity,Indian,PN,1351,0.0,0.8393782383419689
N.08 Bukit Pasir,ethnicity,Other,PN,210,0.0,1.0
N.08 Bukit Pasir,age,18-29,turnout,9028,0.3820336730172796,0.7524368630926008
N.08 Bukit Pasir,age,30-39,turnout,6825,0.14827838827838827,0.8717948717948718
N.08 Bukit Pasir,age,40-49,turnout,5520,0.2326086956521739,0.9119565217391304
N.08 Bukit Pasir,age,50-59,turnout,4710,0.18365180467091294,0.9794055201698514
N.08 Bukit Pasir,age,60-69,turnout,3352,0.125,1.0
N.08 Bukit Pasir,age,70+,turnout,2751,0.09051254089422028,0.9723736822973464
N.08 Bukit Pasir,age,18-29,BN,9028,0.06424457244129375,0.2540983606557377
N.08 Bukit Pasir,age,30-39,BN,6825,0.026227106227106226,0.3982417582417582
N.08 Bukit Pasir,age,40-49,BN,5520,0.005434782608695652,0.3565217391304348
N.08 Bukit Pasir,age,50-59,BN,4710,0.00021231422505307856,0.597452229299363
N.08 Bukit Pasir,age,60-69,BN,3352,0.007159904534606206,0.6718377088305489
N.08 Bukit Pasir,age,70+,BN,2751,0.0,0.6426753907669939
N.08 Bukit Pasir,age,18-29,PH,9028,0.06579530350022153,0.21145325653522376
N.08 Bukit Pasir,age,30-39,PH,6825,0.019487179487179488,0.3131135531135531
N.08 Bukit Pasir,age,40-49,PH,5520,0.007427536231884058,0.32481884057971017
N.08 Bukit Pasir,age,50-59,PH,4710,0.007855626326963907,0.44012738853503186
N.08 Bukit Pasir,age,60-69,PH,3352,0.0,0.4468973747016706
