dim,group,estimand,registered,bound_lo,bound_hi,m2_raw,capped,reconciled,ci_lo,ci_hi,se
age,18-29,turnout,677952,0.3894759510997829,0.6327601364108374,0.5146606359355476,0.5146606359355476,0.5144746650684232,0.49582047617691277,0.5330807581667856,0.00907588848381291
age,30-39,turnout,557295,0.2295785894364744,0.7164822939376811,0.4644094929642723,0.4644094929642723,0.46544111096772456,0.45119084873699605,0.4813570764183015,0.007385726351499336
age,40-49,turnout,460337,0.2500841774612947,0.7892457047771524,0.5196559266639229,0.5196559266639229,0.5202175214260691,0.49772433342482253,0.5424725638936594,0.010846496648033093
age,50-59,turnout,384405,0.3064944524654986,0.8702722389146863,0.624598954441997,0.624598954441997,0.6233960496901847,0.6057846615676434,0.6419715977068229,0.009594767293863393
age,60-69,turnout,287427,0.2664989719128683,0.9010948867016668,0.6542597687224414,0.6542597687224414,0.6534321226138136,0.6386710539793563,0.6713819960099997,0.008463489993036007
age,70+,turnout,207419,0.1991331555932677,0.7989817711974313,0.4636077363333432,0.4636077363333432,0.4649762152087573,0.4399150094235058,0.48768276761356427,0.012955077739759525
age,18-29,BN,677952,0.1315417610686302,0.29856243509865,0.2130493432846517,0.2130493432846517,0.21293374808047602,0.19472524881867362,0.23378361995515248,0.010384596565079165
age,30-39,BN,557295,0.0594729900680967,0.3826070573035824,0.199711946463199,0.199711946463199,0.19913297408363176,0.18251550445698841,0.21680845319502723,0.008974966177218383
age,40-49,BN,460337,0.0461401103973827,0.4073711215913559,0.1993520396408502,0.1993520396408502,0.20024233763163957,0.18319366144343574,0.22237450851249813,0.01070339741693995
age,50-59,BN,384405,0.0472522469790975,0.475547924714819,0.247054425443525,0.247054425443525,0.24676550698385336,0.22766588222702933,0.26891052355601935,0.011162104535020893
age,60-69,BN,287427,0.0504649876316421,0.5338712090374251,0.2914545710553701,0.2914545710553701,0.2896403326734889,0.26273752797275696,0.32181712694569176,0.01565885201603457
age,70+,BN,207419,0.0343025470183541,0.4927706719249441,0.2383580925751987,0.2383580925751987,0.2418053564986831,0.21287818446547677,0.27085489446605415,0.01598133342187669
age,18-29,PH,677952,0.0749536840366279,0.1652049112621542,0.1150015845534791,0.1150015845534791,0.11517626156299139,0.0948941659471699,0.13478667454229346,0.010625887889821986
age,30-39,PH,557295,0.0301025489193335,0.2112130918095443,0.0966596234495794,0.0966596234495794,0.09705539547659474,0.08216639245979032,0.1123895190239334,0.008075480423037447
age,40-49,PH,460337,0.0384500919978189,0.2770665838288036,0.14199780520144,0.14199780520144,0.14183242168667148,0.11758304946874394,0.1645577433444364,0.012209939810992521
age,50-59,PH,384405,0.0519061926874,0.3416500825951795,0.1914190020691467,0.1914190020691467,0.19131811113573668,0.16520760582960078,0.21872320476207738,0.015202390428822158
age,60-69,PH,287427,0.0594759712901014,0.3677872990359291,0.2152041821047761,0.2152041821047761,0.21353781709431185,0.18247351228307823,0.24424849052978212,0.016416461724579487
age,70+,PH,207419,0.0354210559302667,0.3025470183541527,0.1369539141082158,0.1369539141082158,0.13744474870499288,0.11627803400074327,0.15822353336946654,0.011318093374810073
age,18-29,PN,677952,0.0822698362125932,0.2075382917964693,0.1420500990387217,0.1420500990387217,0.14198562092558203,0.1287823112319658,0.16100183338306343,0.008001148758505005
age,30-39,PN,557295,0.0360096537740335,0.2788971729514889,0.1381546001737408,0.1381546001737408,0.13770359185222059,0.12559785007008065,0.15311410583909563,0.0069363510639268025
