dim,group,estimand,model,estimate,se,ci_lo,ci_hi
age,18-29,PH,M1_lpm,0.1769843609779575,0.01346017358231735,0.14803842481077398,0.20001222582390035
age,18-29,PH,M2_logit,0.17738649487052727,0.013363107132518346,0.1485908384494075,0.20014391841618348
age,18-29,PH,M3_probit,0.17738622767977036,,,
age,18-29,PH,M2ml_logit_noprior,0.17738613507149628,,,
age,18-29,PH,M4_context,0.11403232427153678,,,
age,18-29,PH,M5_within_seat,0.17645979211997634,0.013044669287651064,0.14858587668567774,0.19869442634013743
age,30-39,PH,M1_lpm,0.18094442275312034,0.011507526978554821,0.1570454862876258,0.20163470002601963
age,30-39,PH,M2_logit,0.18154225682808603,0.011515197048090437,0.1576646144113917,0.20237188659819275
age,30-39,PH,M3_probit,0.18154199124507103,,,
age,30-39,PH,M2ml_logit_noprior,0.18154183672177449,,,
age,30-39,PH,M4_context,0.22066231876633108,,,
age,30-39,PH,M5_within_seat,0.18175139374299462,0.01176876239225134,0.15671629946935023,0.20315904893089165
age,40-49,PH,M1_lpm,0.20464182005245243,0.01507851213518367,0.17261975679954616,0.23058545559830218
age,40-49,PH,M2_logit,0.20578564217104958,0.015028906004270468,0.1737511187754667,0.2316118603499325
age,40-49,PH,M3_probit,0.20578532099338465,,,
age,40-49,PH,M2ml_logit_noprior,0.20578515856998736,,,
age,40-49,PH,M4_context,0.20713022559223598,,,
age,40-49,PH,M5_within_seat,0.2083674292422488,0.014479300540129046,0.17657129568278696,0.23338522967119774
age,50-59,PH,M1_lpm,0.292023575792137,0.016603578786728423,0.2554763475742256,0.32094218797531643
age,50-59,PH,M2_logit,0.2912475781009762,0.016315018468658942,0.25577030217614255,0.3195902452916266
age,50-59,PH,M3_probit,0.2912473658404306,,,
age,50-59,PH,M2ml_logit_noprior,0.2912472745505187,,,
age,50-59,PH,M4_context,0.29320640390930386,,,
age,50-59,PH,M5_within_seat,0.2899132761057463,0.016095527683915006,0.25721826803024556,0.31856687456010213
age,60-69,PH,M1_lpm,0.326560833441577,0.01792444034712049,0.2899967123022363,0.3608284513322685
age,60-69,PH,M2_logit,0.32265494009697665,0.018107291208287694,0.28579212546327,0.35596587202204927
age,60-69,PH,M3_probit,0.32265478876945736,,,
age,60-69,PH,M2ml_logit_noprior,0.32265477989240127,,,
age,60-69,PH,M4_context,0.3001837833600993,,,
age,60-69,PH,M5_within_seat,0.3178952826243015,0.018416548213215953,0.28167184834759945,0.3518529631005521
age,70+,PH,M1_lpm,0.24570922330516057,0.015885246105897765,0.21155273282673634,0.27679426716241323
age,70+,PH,M2_logit,0.24807564364852117,0.015483700474625554,0.21539519552882108,0.27858275517106695
age,70+,PH,M3_probit,0.248075008855067,,,
age,70+,PH,M2ml_logit_noprior,0.2480746463935421,,,
age,70+,PH,M4_context,0.26313703791071485,,,
age,70+,PH,M5_within_seat,0.25283798581049444,0.014259779315181378,0.22350800405867063,0.28244061301893175
age,18-29,PN,M1_lpm,0.034629234544923046,0.006835571716246529,0.02237437289595225,0.04916999510428432
age,18-29,PN,M2_logit,0.03458489443373312,0.0068968643170674625,0.022272529824031728,0.04915783150571272
age,18-29,PN,M3_probit,0.03458436974052558,,,
age,18-29,PN,M2ml_logit_noprior,0.034584206076380505,,,
age,18-29,PN,M4_context,0.022545620369652703,,,
age,18-29,PN,M5_within_seat,0.03509558853089025,0.006830318745785609,0.02283004532572403,0.049850533437738494
age,30-39,PN,M1_lpm,0.03758386909126451,0.007049619015170775,0.024249369910648137,0.05170365182234191
age,30-39,PN,M2_logit,0.037418926014259155,0.007054730117783059,0.024117751203181038,0.05145897706331697
age,30-39,PN,M3_probit,0.037418250970030646,,,
age,30-39,PN,M2ml_logit_noprior,0.037418030517109985,,,
age,30-39,PN,M4_context,0.04185724053229654,,,
age,30-39,PN,M5_within_seat,0.0373243192121617,0.006961237081858113,0.02448885601424661,0.05161619654781566
age,40-49,PN,M1_lpm,0.04618265743564436,0.008370736103131271,0.03072926054727923,0.06311756175110027
age,40-49,PN,M2_logit,0.04694306917337923,0.008396815915620354,0.031170936770321466,0.06387703349707137
age,40-49,PN,M3_probit,0.04694273889882576,,,
age,40-49,PN,M2ml_logit_noprior,0.04694257075386628,,,
age,40-49,PN,M4_context,0.04932528883728721,,,
age,40-49,PN,M5_within_seat,0.04544646398780649,0.008272519031378689,0.03005181263911184,0.06323817192058273
age,50-59,PN,M1_lpm,0.041946448323147666,0.008856519738961873,0.02579680652381638,0.0606617949209726
age,50-59,PN,M2_logit,0.04224975811794662,0.009001095473552276,0.025618806997999354,0.06086182392257591
age,50-59,PN,M3_probit,0.04224858310614826,,,
age,50-59,PN,M2ml_logit_noprior,0.042248220297275686,,,
age,50-59,PN,M4_context,0.041171431039193226,,,
age,50-59,PN,M5_within_seat,0.04392645469448923,0.008576565687289078,0.027599619742105074,0.06189322997896563
age,60-69,PN,M1_lpm,0.03126471787253156,0.006298010887965222,0.01978378726016078,0.044469283562980896
age,60-69,PN,M2_logit,0.032823830360345675,0.006911277230667039,0.020401888056398882,0.047574718361320746
age,60-69,PN,M3_probit,0.032824902135443194,,,
age,60-69,PN,M2ml_logit_noprior,0.03282504718238928,,,
age,60-69,PN,M4_context,0.035367684982445385,,,
age,60-69,PN,M5_within_seat,0.033430937419203596,0.00665123950770014,0.02147309014610921,0.04707899842244487
age,70+,PN,M1_lpm,0.020407708118253667,0.0037497131467295348,0.013235080258073208,0.027693255091787317
age,70+,PN,M2_logit,0.01692587537701706,0.003326516394305971,0.01040751229460614,0.023815009843535666
age,70+,PN,M3_probit,0.016920163745483812,,,
age,70+,PN,M2ml_logit_noprior,0.016918751907662392,,,
age,70+,PN,M4_context,0.015031046846515173,,,
age,70+,PN,M5_within_seat,0.016445753737436824,0.0029800888892493487,0.010874545082637596,0.022435555196229445
